"status","concept_id","sub_concept_id","jid","dim_label","term_html","term_excel","html_analysis","excel_analysis","sheet","addr","linked_articles","link_statuses","link_status"
"missing_in_excel","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Term","Deployer of high-risk AI systems","","Deployer of high-risk AI systems","","","","eu-ai-act:6;eu-ai-act:III;eu-ai-act:3;eu-ai-act:25;eu-ai-act:26;eu-ai-act:50;eu-ai-act:86;eu-ai-act:27;eu-ai-act:49;eu-ai-act:99","verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"mismatch","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Transparency","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26)","Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26)
Deployers of high-risk AI system that generates or manipulates content must disclose that content has been artificially generated or manipulated (Article 50)","Deployer_Supplier_Analysis","B35","eu-ai-act:26;eu-ai-act:50","verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","AI literacy","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D42","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Cooperation with authorities","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D43","","",""
"missing_in_html","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Deployers of GPAI systems / Supplier of generative AI systems","","Supplier of high-risk generative AI systems","","This section compares the terms and obligations for deployers of general-purpose AI systems (GPAI) in the EU AIA and for suppliers of generative AI systems in Utah's SB226.","Deployer_Supplier_Analysis","D53","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Exemptions","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D46","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","General information disclosure","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D29","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Human oversight","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D40","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Impact assessment","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D30","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Impact assessment - review","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D33","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Incident / risk reporting","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D44","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Notification","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D34","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Penalties","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","Up to $2.5K per violation (§13-75-105)","Up to $2.5K per violation (§13-75-105)","Deployer_Supplier_Analysis","D47","ut-sb226:13-75-105","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Rebuttal","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D45","ut-sb226:13-75-104","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Registration","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D26","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Regulatory trigger","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","Domain and system-based","Domain and system-based","Deployer_Supplier_Analysis","D24","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Right to explanation","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D41","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Risk management","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D38","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Scope","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","A person that provides services in a regulated occupation (e.g., physician, surgeon, accountant, etc.)  using a generative AI system (§13-75-101)","A person that provides services in a regulated occupation (e.g., physician, surgeon, accountant, etc.)  using a generative AI system (§13-75-101)","Deployer_Supplier_Analysis","D23","ut-sb226:13-75-101","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Specific information disclosure","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","-","-","Deployer_Supplier_Analysis","D39","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Temporal trigger","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","At the start of an individual's interaction","At the start of an individual's interaction","Deployer_Supplier_Analysis","D25","","",""
"missing_in_excel","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Term","Supplier of high-risk generative AI systems","","Supplier of high-risk generative AI systems","","","","ut-sb226:13-75-101;ut-sb226:13-75-103;ut-sb226:13-75-104;ut-sb226:13-75-105","no_verbatim;no_verbatim;no_verbatim;no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","ut","Transparency","Supplier of high-risk generative AI systems","Supplier of high-risk generative AI systems","Individual providing services in a regulated occupation must disclose when individual receiving services is interacting with generative AI system before or at the start of interaction (§13-75-103)","Individual providing services in a regulated occupation must disclose when individual receiving services is interacting with generative AI system before or at the start of interaction (§13-75-103)","Deployer_Supplier_Analysis","D35","ut-sb226:13-75-103","no_verbatim","no_verbatim"
"match","incident","serious-incident","ca","Definition","Critical safety incident","Critical safety incident","Materialisation of catastrophic risk (death/serious injury > 50 people or costly damages) and technical subversion of frontier models through weight theft or loss of control  (§22757.11)","Materialisation of catastrophic risk (death/serious injury > 50 people or costly damages) and technical subversion of frontier models through weight theft or loss of control  (§22757.11)","Incident_ANALYSIS","C3","ca-sb53:22757.11","no_verbatim","no_verbatim"
"missing_in_excel","incident","serious-incident","ca","Penalties","Critical safety incident","","Up to $1M per violation (22757.15.)","","","","ca-sb53:22757.15","no_verbatim","no_verbatim"
"match","incident","serious-incident","ca","Reporting mechanism","Critical safety incident","Critical safety incident","Frontier model developers must report critical safety incidents directly to the Attorney General (§22757.13)","Frontier model developers must report critical safety incidents directly to the Attorney General (§22757.13)","Incident_ANALYSIS","C8","ca-sb53:22757.13","no_verbatim","no_verbatim"
"match","incident","serious-incident","ca","Reporting timeline","Critical safety incident","Critical safety incident","Within 24 hours to 15 days, depending on severity (22757.13.)","Within 24 hours to 15 days, depending on severity (22757.13.)","Incident_ANALYSIS","C5","ca-sb53:22757.13","no_verbatim","no_verbatim"
"match","incident","serious-incident","ca","Scope","Critical safety incident","Critical safety incident","Specific actions/harms involving frontier models","Specific actions/harms involving frontier models","Incident_ANALYSIS","C4","","",""
"missing_in_excel","incident","serious-incident","ca","Term","Critical safety incident","","Critical safety incident","","","","ca-sb53:22757.11","no_verbatim","no_verbatim"
"match","incident","serious-incident","eu","Definition","Serious incident","Serious incident","Death, harm to health, safety, fundamental rights, or the environment (Article 3)","Death, harm to health, safety, fundamental rights, or the environment (Article 3)","Incident_ANALYSIS","B3","eu-ai-act:3","verbatim_found","verbatim_found"
"missing_in_excel","incident","serious-incident","eu","Penalties","Serious incident","","Fines up to €15k or 3% of total global turnover (Articles 99, 101)","","","","eu-ai-act:99;eu-ai-act:101","verbatim_found;verbatim_found","verbatim_found"
"match","incident","serious-incident","eu","Reporting mechanism","Serious incident","Serious incident","High-risk AI systems: providers must report serious incidents to the market surveillance authorities of the Member States where the incident occurred (Article 73)
GPAI models with systemic risk: providers must report to AI Office and, where relevant, to Member States' market surveillance authorities (Article 55)","High-risk AI systems: providers must report serious incidents to the market surveillance authorities of the Member States where the incident occurred (Article 73)
GPAI models with systemic risk: providers must report to AI Office and, where relevant, to Member States' market surveillance authorities (Article 55)","Incident_ANALYSIS","B8","eu-ai-act:73;eu-ai-act:55","verbatim_found;verbatim_found","verbatim_found"
"match","incident","serious-incident","eu","Reporting timeline","Serious incident","Serious incident","High-risk systems: general, no later than 15 days; widespread infringement or serious incident, immediately and no later than 2 days; death/serious health impact, immediately and no later than 10 days (Article 73)
GPAI models with systemic risk: irreversible disruption of critical infrastructure, no later than 2 days; cybersecurity breach, no later than 5 days; death, no later than 10 days; serious harm to health, no later than 15 days (CoP SSC 9.3)","High-risk systems: general, no later than 15 days; widespread infringement or serious incident, immediately and no later than 2 days; death/serious health impact, immediately and no later than 10 days (Article 73)
GPAI models with systemic risk: irreversible disruption of critical infrastructure, no later than 2 days; cybersecurity breach, no later than 5 days; death, no later than 10 days; serious harm to health, no later than 15 days (CoP SSC 9.3)","Incident_ANALYSIS","B5","","",""
"match","incident","serious-incident","eu","Scope","Serious incident","Serious incident","Incident or malfunctioning of high-risk AI systems and GPAI models with systemic risk","Incident or malfunctioning of high-risk AI systems and GPAI models with systemic risk","Incident_ANALYSIS","B4","eu-ai-act:73;eu-ai-act:55","verbatim_found;verbatim_found","verbatim_found"
"missing_in_excel","incident","serious-incident","eu","Term","Serious incident","","Serious incident","","","","eu-ai-act:3","verbatim_found","verbatim_found"
"match","incident","serious-incident","ny","Definition","Critical safety incident","Critical safety incident","Materialisation of catastrophic risk (death/serious injury > 50 people or costly damages) and technical subversion of frontier models through weight theft or loss of control  (§1420)","Materialisation of catastrophic risk (death/serious injury > 50 people or costly damages) and technical subversion of frontier models through weight theft or loss of control  (§1420)","Incident_ANALYSIS","D3","ny-s8828:1420","verbatim_found","verbatim_found"
"missing_in_excel","incident","serious-incident","ny","Penalties","Critical safety incident","","Up to $1M for first violation; up to $3M per subsequent violation (§ 1427)","","","","ny-s8828:1427","verbatim_found","verbatim_found"
"match","incident","serious-incident","ny","Reporting mechanism","Critical safety incident","Critical safety incident","Developers must report incidents to the Office of Information Technology Services via a specialised reporting mechanism (§1422)","Developers must report incidents to the Office of Information Technology Services via a specialised reporting mechanism (§1422)","Incident_ANALYSIS","D8","ny-s8828:1422","verbatim_found","verbatim_found"
"match","incident","serious-incident","ny","Reporting timeline","Critical safety incident","Critical safety incident","Within 24 hours to 72 hours, depending on severity (§ 1422)","Within 24 hours to 72 hours, depending on severity (§ 1422)","Incident_ANALYSIS","D5","ny-s8828:1422","verbatim_found","verbatim_found"
"match","incident","serious-incident","ny","Scope","Critical safety incident","Critical safety incident","Specific actions/harms involving frontier models","Specific actions/harms involving frontier models","Incident_ANALYSIS","D4","","",""
"missing_in_excel","incident","serious-incident","ny","Term","Critical safety incident","","Critical safety incident","","","","ny-s8828:1420","verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-model","ca","Compute threshold","Foundation model","Foundation model / Frontier model","Frontier model: 10²⁶ FLOPs (§22757.11)","Frontier model: 10²⁶ FLOPs (§22757.11)","GPAI_Frontier_Foundation_Analys","C6","ca-sb53:22757.11","verbatim_found","verbatim_found"
"mismatch","model-system","general-purpose-ai-model","ca","Definition","Foundation model","Foundation model / Frontier model","SB 53 §22757.11(f) Foundation model: ""means an artificial intelligence model that is all of the following: (1) Trained on a broad data set. (2) Designed for generality of output. (3) Adaptable to a wide range of distinctive tasks.""

§22757.11(i)(1) Frontier model: ""means a foundation model that was trained using a quantity of computing power greater than 10²⁶ integer or floating-point operations."" §22757.11(i)(2) clarifies that the computing-power quantity includes the original training run plus any subsequent fine-tuning, reinforcement learning, or other material modifications.","Criteria-based (trained on broad data, generality, adaptability) + compute threshold for frontier (§22757.11)","GPAI_Frontier_Foundation_Analys","C3","ca-sb53:22757.11","verbatim_found","verbatim_found"
"missing_in_excel","model-system","general-purpose-ai-model","ca","Definition approach","Foundation model","","Criteria-based (trained on broad data, generality, adaptability) + compute threshold for frontier","","","","","",""
"match","model-system","general-purpose-ai-model","ca","Exemption","Foundation model","Foundation model / Frontier model","-","-","GPAI_Frontier_Foundation_Analys","C12","","",""
"match","model-system","general-purpose-ai-model","ca","Regulatory trigger","Foundation model","Foundation model / Frontier model","Compute (>10²⁶ operations)","Compute (>10²⁶ operations)","GPAI_Frontier_Foundation_Analys","C11","","",""
"missing_in_excel","model-system","general-purpose-ai-model","ca","Term","Foundation model","","Foundation model / Frontier model","","","","ca-sb53:22757.11","verbatim_found","verbatim_found"
"mismatch","model-system","general-purpose-ai-model","eu","Compute threshold","General-purpose AI model","General-purpose AI model / General-purpose AI model with systemic risks","Indicative criterion.
General-purpose AI model: 10²³ FLOPs plus capability to generate language, including video or text (GL, (17))
GPAI with systemic risk:  10²⁵ FLOPs (Article 51)","Indicative criterion.
General-purpose AI model: 10^23 FLOPs plus capability to generate language, including video or text (GL, (17))
GPAI with systemic risk:  10²⁵ FLOPs (Article 51)","GPAI_Frontier_Foundation_Analys","B6","eu-guidelines-gpai-scope:17","wrong_law","wrong_law"
"mismatch","model-system","general-purpose-ai-model","eu","Definition","General-purpose AI model","General-purpose AI model / General-purpose AI model with systemic risks","AIA Article 3(63): ""'general-purpose AI model' means an AI model, including where such an AI model is trained with a large amount of data using self-supervision at scale, that displays significant generality and is capable of competently performing a wide range of distinct tasks regardless of the way the model is placed on the market and that can be integrated into a variety of downstream systems or applications, except AI models that are used for research, development or prototyping activities before they are placed on the market.""

Article 51 classifies a GPAI model as a GPAI model with systemic risk where it (a) has high-impact capabilities evaluated on the basis of appropriate technical tools and methodologies, or (b) is so designated by Commission decision. Article 51(2) presumption: a model is presumed to have high-impact capabilities when the cumulative compute used for training exceeds 10²⁵ FLOPs.","Functional (generality + task capability)
Upon Commission designation
(Articles 3, 51, 52; GL, (17))","GPAI_Frontier_Foundation_Analys","B3","eu-ai-act:3;eu-ai-act:51","verbatim_found;verbatim_found","verbatim_found"
"missing_in_excel","model-system","general-purpose-ai-model","eu","Definition approach","General-purpose AI model","","Functional (generality + task capability)","","","","","",""
"match","model-system","general-purpose-ai-model","eu","Exemption","General-purpose AI model","General-purpose AI model / General-purpose AI model with systemic risks","R&D/prototyping exempt from GPAI model definition","R&D/prototyping exempt from GPAI model definition","GPAI_Frontier_Foundation_Analys","B12","eu-ai-act:3;eu-ai-act:51;eu-ai-act:52","verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-model","eu","Regulatory trigger","General-purpose AI model","General-purpose AI model / General-purpose AI model with systemic risks","Capabilities (generality + task range)","Capabilities (generality + task range)","GPAI_Frontier_Foundation_Analys","B11","","",""
"missing_in_excel","model-system","general-purpose-ai-model","eu","Term","General-purpose AI model","","General-purpose AI model / General-purpose AI model with systemic risks
Upon Commission designation
(Articles 3, 51, 52; GL, (17))","","","","eu-ai-act:3;eu-ai-act:51;eu-guidelines-gpai-scope:17","verbatim_found;verbatim_found;wrong_law","wrong_law"
"match","model-system","general-purpose-ai-model","ny","Compute threshold","Foundation model","Foundation model / Frontier model","Frontier model: 10²⁶ FLOPs (§1420)","Frontier model: 10²⁶ FLOPs (§1420)","GPAI_Frontier_Foundation_Analys","D6","ny-s8828:1420","verbatim_found","verbatim_found"
"mismatch","model-system","general-purpose-ai-model","ny","Definition","Foundation model","Foundation model / Frontier model","S8828 §1420(6) Foundation model: ""means an artificial intelligence model that is all of the following: (a) trained on a broad data set; (b) designed for generality of output; and (c) adaptable to a wide range of distinctive tasks.""

§1420(9)(a) Frontier model: ""means a foundation model that was trained using a quantity of computing power greater than 10²⁶ integer or floating-point operations."" §1420(9)(b) includes the original training run plus any subsequent fine-tuning, reinforcement learning, or other material modifications.","Criteria-based (trained on broad data, generality, adaptability) + compute threshold for frontier (§1420)","GPAI_Frontier_Foundation_Analys","D3","ny-s8828:1420","verbatim_found","verbatim_found"
"missing_in_excel","model-system","general-purpose-ai-model","ny","Definition approach","Foundation model","","Criteria-based (trained on broad data, generality, adaptability) + compute threshold for frontier","","","","","",""
"mismatch","model-system","general-purpose-ai-model","ny","Exemption","Foundation model","Foundation model / Frontier model","Accredited colleges/universities","Accredited colleges/universities (§1426)","GPAI_Frontier_Foundation_Analys","D12","ny-s8828:1420","verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-model","ny","Regulatory trigger","Foundation model","Foundation model / Frontier model","Compute (>10²⁶ operations)","Compute (>10²⁶ operations)","GPAI_Frontier_Foundation_Analys","D11","","",""
"missing_in_excel","model-system","general-purpose-ai-model","ny","Term","Foundation model","","Foundation model / Frontier model","","","","ny-s8828:1420","verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-system","ca","Definition","Generative artificial intelligence","Generative artificial intelligence system / Generative artificial intelligence","An AI system that can generate derived synthetic content, including text, images, video, and audio, that emulates the structure and characteristics of the system's training data (SB 942 §22757.1; AB 2013 §3110)","An AI system that can generate derived synthetic content, including text, images, video, and audio, that emulates the structure and characteristics of the system's training data (SB 942 §22757.1; AB 2013 §3110)","GPAI system_Generative AI_ANALY","C3","ca-sb942:22757.1;ca-ab2013:3110","wrong_law;wrong_law","wrong_law"
"match","model-system","general-purpose-ai-system","ca","Regulatory trigger","Generative artificial intelligence","Generative artificial intelligence system / Generative artificial intelligence","System and usership-based: targets ‘covered providers’","System and usership-based: targets ‘covered providers’","GPAI system_Generative AI_ANALY","C5","","",""
"match","model-system","general-purpose-ai-system","ca","Scope","Generative artificial intelligence","Generative artificial intelligence system / Generative artificial intelligence","Covered providers: producers of GenAI systems with over 1M monthly visitors/users publicly accessible in California (SB 942 §22757.1)","Covered providers: producers of GenAI systems with over 1M monthly visitors/users publicly accessible in California (SB 942 §22757.1)","GPAI system_Generative AI_ANALY","C4","ca-sb942:22757.1;ca-ab2013:3110","wrong_law;wrong_law","wrong_law"
"missing_in_excel","model-system","general-purpose-ai-system","ca","Term","Generative artificial intelligence","","Generative artificial intelligence system / Generative artificial intelligence","","","","ca-sb942:22757.1;ca-ab2013:3110","wrong_law;wrong_law","wrong_law"
"match","model-system","general-purpose-ai-system","eu","Definition","General-purpose AI system","General-purpose AI system","An AI system based on a general-purpose AI model which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems (Article 3)","An AI system based on a general-purpose AI model which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems (Article 3)","GPAI system_Generative AI_ANALY","B3","eu-ai-act:3","verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-system","eu","Regulatory trigger","General-purpose AI system","General-purpose AI system","System-based","System-based","GPAI system_Generative AI_ANALY","B5","","",""
"match","model-system","general-purpose-ai-system","eu","Scope","General-purpose AI system","General-purpose AI system","Any deployer using a GPAI system professionally (Article 50)","Any deployer using a GPAI system professionally (Article 50)","GPAI system_Generative AI_ANALY","B4","eu-ai-act:100","verbatim_found","verbatim_found"
"missing_in_excel","model-system","general-purpose-ai-system","eu","Term","General-purpose AI system","","General-purpose AI system","","","","eu-ai-act:3","verbatim_found","verbatim_found"
"match","model-system","general-purpose-ai-system","ut","Definition","Generative artificial intelligence","Generative artificial intelligence","An AI technology system that: (a) is trained on data; (b) is designed to simulate human conversation with a consumer through text, audio or visual communication; and (c) generates non-scripted outputs similar to outputs created by a human, with limited or no human oversight. (§13-75-101)","An AI technology system that: (a) is trained on data; (b) is designed to simulate human conversation with a consumer through text, audio or visual communication; and (c) generates non-scripted outputs similar to outputs created by a human, with limited or no human oversight. (§13-75-101)","GPAI system_Generative AI_ANALY","D3","ut-sb226:13-75-101","wrong_article","wrong_article"
"match","model-system","general-purpose-ai-system","ut","Regulatory trigger","Generative artificial intelligence","Generative artificial intelligence","System and context-based","System and context-based","GPAI system_Generative AI_ANALY","D5","","",""
"match","model-system","general-purpose-ai-system","ut","Scope","Generative artificial intelligence","Generative artificial intelligence","Suppliers using generative AI in consumer transactions; individuals providing services in regulated occupations (§13-75-103)","Suppliers using generative AI in consumer transactions; individuals providing services in regulated occupations (§13-75-103)","GPAI system_Generative AI_ANALY","D4","ut-sb226:13-75-103","wrong_article","wrong_article"
"missing_in_excel","model-system","general-purpose-ai-system","ut","Term","Generative artificial intelligence","","Generative artificial intelligence","","","","ut-sb226:13-75-101","wrong_article","wrong_article"
"mismatch","model-system","high-risk-ai-system","co","Definition","High-risk artificial intelligence system","High-risk artificial intelligence system","AI system that makes, or is a substantial factor in a 'consequential decision' (education enrolment or an education opportunity; employment or an employment opportunity; a financial or lending service; an essential government service; health-care services; housing; insurance; or a legal service) (§6-1-1701(9)(a); §6-1-1701(3))","AI system that makes, or is a substantial factor in a  'consequential decision' (education enrolment or an education opportunity; employment or an employment opportunity; a financial or lending service; an essential government service; health-care services; housing; insurance; or a legal service)
(§6-1-1701)"," High-risk AI system_ANALYSIS","C4","co-sb24205:6-1-1701","verbatim_found","verbatim_found"
"mismatch","model-system","high-risk-ai-system","co","Exemptions","High-risk artificial intelligence system","High-risk artificial intelligence system","AI systems intended to (A) perform a narrow procedural task, or (B) detect decision-making patterns or deviations from prior decision-making patterns (where not intended to replace/influence a previously completed human assessment without sufficient human review). Specific technologies (e.g., anti-malware, anti-virus, AI-enabled video games, etc.) §6-1-1701","AI systems intended to (A) perform a narrow procedural task, or (B) detect decision-making patterns or deviations from prior decision-making patterns (where not intended to replace/influence a previously completed human assessment without sufficient human review). Specific technologies (e.g., anti-malware, anti-virus, AI-enabled video games, etc.) (§6-1-1701)"," High-risk AI system_ANALYSIS","C7","co-sb24205:6-1-1701","verbatim_found","verbatim_found"
"match","model-system","high-risk-ai-system","co","Regulatory trigger","High-risk artificial intelligence system","High-risk artificial intelligence system","Outcome-based","Outcome-based"," High-risk AI system_ANALYSIS","C6","","",""
"missing_in_excel","model-system","high-risk-ai-system","co","Term","High-risk artificial intelligence system","","High-risk artificial intelligence system","","","","co-sb24205:6-1-1701","verbatim_found","verbatim_found"
"mismatch","model-system","high-risk-ai-system","eu","Definition","High-risk AI system","High-risk AI system","AI system placed on the market or put into service that 1) acts as a safety component of a product, or is a product itself, covered by specific Union harmonisation legislation (e.g., machinery, toys, lifts, equipment and protective systems intended for use in potentially explosive atmospheres, radio equipment, pressure equipment, recreational craft equipment, cableway installations, appliances burning gaseous fuels, medical devices and in vitro diagnostic medical devices, automotive and aviation), and is required to undergo a third-party conformity assessment, or 2) listed in Annex III: biometrics, critical infrastructure, education and vocational training, employment workers management and access to self-employment, access to and enjoyment of essential private services and essential public services and benefits, law enforcement, migration, asylum and border control management, and administration of justice and democratic processes (Article 6, Annex III)","AI system placed on the market or put into service that 1) acts as a safety component of a product, or is a product itself, covered by specific Union harmonisation legislation (e.g., machinery, toys, medical devices), and 2) are listed in any of the following areas: biometrics; critical infrastructure; educational and vocational training; employment, workers' management and access to self-employment; essential private and public services and benefits; law enforcement; migration, asylum and border control management; administration of justice and democratic processes
(Article 6, Annex III)"," High-risk AI system_ANALYSIS","B4","eu-ai-act:6","verbatim_found","verbatim_found"
"mismatch","model-system","high-risk-ai-system","eu","Exemptions","High-risk AI system","High-risk AI system","AI system that (a) performs a narrow procedural task; (b) improves the result of a previously completed human activity; (c) detects decision-making patterns or deviations from prior patterns and is not meant to replace/influence a previously completed human assessment without proper human review; or (d) performs a preparatory task for an Annex III use case (Art. 6)","AI system that (a) performs a narrow procedural task; (b) improves the result of a previously completed human activity; (c) detects decision-making patterns or deviations from prior patterns and is not meant to replace/influence a previously completed human assessment without proper human review; or (d) performs a preparatory task for an Annex III use case (Article 6)"," High-risk AI system_ANALYSIS","B7","eu-ai-act:6","verbatim_found","verbatim_found"
"match","model-system","high-risk-ai-system","eu","Regulatory trigger","High-risk AI system","High-risk AI system","Domain-based","Domain-based"," High-risk AI system_ANALYSIS","B6","","",""
"missing_in_excel","model-system","high-risk-ai-system","eu","Term","High-risk AI system","","High-risk AI system","","","","eu-ai-act:6","verbatim_found","verbatim_found"
"match","model-system","high-risk-ai-system","ut","Definition","High-risk artificial intelligence interaction","High-risk artificial intelligence interaction","An interaction with generative AI that involves the collection of sensitive personal information (health, financial or biometric data) and the provision of personalised recommendations, advice or information that could reasonably be relied upon to make significant personal decisions, including financial, legal, medical or mental-health advice or services (§13-75-101)","An interaction with generative AI that involves the collection of sensitive personal information (health, financial or biometric data) and the provision of personalised recommendations, advice or information that could reasonably be relied upon to make significant personal decisions, including financial, legal, medical or mental-health advice or services  (§13-75-101)"," High-risk AI system_ANALYSIS","D4","ut-sb226:13-75-101","verbatim_found","verbatim_found"
"match","model-system","high-risk-ai-system","ut","Exemptions","High-risk artificial intelligence interaction","High-risk artificial intelligence interaction","-","-"," High-risk AI system_ANALYSIS","D7","","",""
"match","model-system","high-risk-ai-system","ut","Regulatory trigger","High-risk artificial intelligence interaction","High-risk artificial intelligence interaction","Context-based","Context-based"," High-risk AI system_ANALYSIS","D6","","",""
"missing_in_excel","model-system","high-risk-ai-system","ut","Term","High-risk artificial intelligence interaction","","High-risk artificial intelligence interaction","","","","ut-sb226:13-75-101","verbatim_found","verbatim_found"
"match","modification","substantial-modification","ca-0-substantially-modified-version-of-a-frontier-model-no-standalone-defined-term","Continuous learning","(Substantially modified version of a frontier model) – no standalone defined term","(Substantially modified version of a frontier model) – no standalone defined term","Not addressed at statute level; delegated to developer's framework criteria","Not addressed at statute level; delegated to developer's framework criteria","Modification_ANALYSIS","C9","","",""
"match","modification","substantial-modification","ca-0-substantially-modified-version-of-a-frontier-model-no-standalone-defined-term","Definition","(Substantially modified version of a frontier model) – no standalone defined term","(Substantially modified version of a frontier model) – no standalone defined term","Developer-defined: the frontier AI framework must set out how the developer determines when a model is 'substantially modified enough to require disclosures'; criteria must be publicly disclosed. (§22757.12)","Developer-defined: the frontier AI framework must set out how the developer determines when a model is 'substantially modified enough to require disclosures'; criteria must be publicly disclosed. (§22757.12)","Modification_ANALYSIS","C3","ca-sb53:22757.12","wrong_law","wrong_law"
"match","modification","substantial-modification","ca-0-substantially-modified-version-of-a-frontier-model-no-standalone-defined-term","Obligations triggered","(Substantially modified version of a frontier model) – no standalone defined term","(Substantially modified version of a frontier model) – no standalone defined term","Publish transparency report on developer's website; update frontier AI framework if material changes (§22757.12)","Publish transparency report on developer's website; update frontier AI framework if material changes (§22757.12)","Modification_ANALYSIS","C10","ca-sb53:22757.12","wrong_law","wrong_law"
"match","modification","substantial-modification","ca-0-substantially-modified-version-of-a-frontier-model-no-standalone-defined-term","Scope","(Substantially modified version of a frontier model) – no standalone defined term","(Substantially modified version of a frontier model) – no standalone defined term","Frontier models (>10²⁶ FLOPs) (§22757.11)","Frontier models (>10²⁶ FLOPs) (§22757.11)","Modification_ANALYSIS","C6","ca-sb53:22757.11","wrong_law","wrong_law"
"missing_in_excel","modification","substantial-modification","ca-0-substantially-modified-version-of-a-frontier-model-no-standalone-defined-term","Term","(Substantially modified version of a frontier model) – no standalone defined term","","(Substantially modified version of a frontier model) – no standalone defined term","","","","ca-sb53:22757.12","wrong_law","wrong_law"
"match","modification","substantial-modification","ca-1-substantial-modification","Continuous learning","Substantial modification","Substantial modification","Retraining and fine tuning included within the definition of substantial modification, triggering obligations (§3110)","Retraining and fine tuning included within the definition of substantial modification, triggering obligations (§3110)","Modification_ANALYSIS","D9","ca-ab2013:3110","verbatim_found","verbatim_found"
